idMLL	id	Type	Sub	Ori	LblEN	LblLNG	LastUpd	LastUpdTrad	User	Lng
299	12510	Epi	Dec	TlMllPat	No data available		2009-09-19 22:28:00		BUedit	pl	
301	12516	Epi	Dec	TlMllPat	Any age		2009-09-19 22:28:00		BUedit	pl	
303	12538	Typ	Eqa	TbQlt	External Quality Assesment	Zewnętrzna Ocena Jakości	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
305	12544	Typ	Cer	TbQlt	Certification		2009-09-19 22:27:00		BUedit	pl	
307	12564	Cod	A	TlMAP	Alimentary tract and metabolism	Przewód pokarmowy i metabolizm	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
309	12570	Cod	B	TlMAP	Blood and blood forming organs	Krew i organy krwiotwórcze	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
311	12576	Cod	C	TlMAP	Cardiovascular system	Układ sercowo-naczyniowy	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
313	12582	Cod	D	TlMAP	Dematologicals	Dermatologia	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
315	12588	Cod	G	TlMAP	Genito urinary system and sex hormones	Układ moczowo-płciowy i hormony płciowe	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
317	12594	Cod	H	TlMAP	Systemic hormonal preparations, excl, sex hormones	Układ horomonalny bez hormonów płciowych	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
319	12600	Cod	J	TlMAP	General antiinfectives for systemic use	Leki przeciwzapalne do stosowania ogólnego	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
321	12606	Cod	L	TlMAP	Antineoplastic and immunomodulating agents	Czynniki przeciwnowotworowe i immunomodulujące	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
323	12612	Cod	M	TlMAP	Musculo-skeletal system	Układ mięśniowo-szkieletowy	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
325	12618	Cod	N	TlMAP	Nervous system	Układ nerowowy	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
327	12624	Cod	P	TlMAP	Antiparasitic products, insecticides and repellents	Produkty przeciwpasożytnicze, insektycydy i repelenty	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
329	12630	Cod	R	TlMAP	Respiratory system	Ukłąd oddechowy	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
331	12637	Cod	V	TlMAP	Various	Zmienne/Różne	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
333	12986	Sta	Qlt	TbAct	Eqa	Eqa	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
335	12992	Typ	Qlt	TbLoc	Acc	Acc	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
337	12998	Typ	Qlt	TbLoc	Eqa	Eqa	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
339	13004	Typ	Qlt	TbLoc	Cer	Cer	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
341	13173	Cod	S	TlMAP	Sensory organs	Narządy zmysłów	2015-12-22 11:13:00	2018-04-12	dkarczma	pl	
343	13251	Sta	Nnn	TbQlt	hidden	ukryty	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
345	13605	Zad	Spc	TbAct	Turkey	Turcja	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
347	13743	Sta	Gal	TbAct	Terminated	Zakończony	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
349	14946	Typ	Rch	TbAct	Research project	Projekt badawczy	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
351	14952	Typ	Rch	TbAct	Gene search	Wyszukiwanie genu	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
353	14958	Typ	Rch	TbAct	Mutations search	Wyszukiwanie mutacji	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
355	14964	Typ	Rch	TbAct	Gene expression profile	Profil ekspresji genu	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
357	14970	Typ	Rch	TbAct	Genotype-phenotype correlation	Korelacja genotyp-Fenotyp	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
359	14976	Typ	Rch	TbAct	In vitro functional study	Badanie in vitro	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
361	14982	Typ	Rch	TbAct	Animal model creation / study	Badanie na modelu zwierzęcym	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
363	14988	Typ	Rch	TbAct	Human physiopathology study	Badanie fizjopatologiczne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
365	14994	Typ	Rch	TbAct	Pre-clinical gene therapy	Przedkliniczna terapia genowa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
367	15000	Typ	Rch	TbAct	Pre-clinical cell therapy	Przedkliniczna terapia komórkowa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
369	15006	Typ	Rch	TbAct	Pre-clinical drug development / Drug delivery  	Przedkliniczny rozwój leku	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
371	15012	Typ	Rch	TbAct	Pre-clinical vaccine development	Przedkliniczny rozwój szczepionek	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
373	15018	Typ	Rch	TbAct	Diagnostic tool/protocol development	Rozwój narzędzia diagnostycznego/protokołu	2014-04-08 08:49:00	2018-04-12	dkarczma	pl	
375	15024	Typ	Rch	TbAct	Biomarker development	Rozwój biomarkera	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
377	15030	Typ	Rch	TbAct	Medical device / instrumentation development	Rozwój urządzenia/narzędzia medycznego	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
379	15036	Typ	Rch	TbAct	Epidemiological study	Badanie epidemiologiczne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
381	15042	Typ	Rch	TbAct	Observational clinical study	Obserwacyjne badanie kliniczne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
383	15048	Typ	Rch	TbAct	Health sociology study	Badanie z zakresu socjologii zdrowia	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
385	15054	Typ	Rch	TbAct	Health economics study	Badanie z zakresu ekonomii zdrowia	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
387	15060	Typ	Rch	TbAct	Public health study (excluding health economics)	Badanie z zakresu zdrowia publicznego	2014-12-19 11:24:00	2018-04-12	dkarczma	pl	
389	15066	Typ	Rcl	TbAct	Clinical trial	Badanie kliniczne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
391	15072	Typ	Rcl	TbAct	Drug clinical trial	Badanie kliniczne leku	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
393	15078	Typ	Rcl	TbAct	Protocol clinical trial	Badanie kliniczne według protokołu	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
395	15084	Typ	Rcl	TbAct	Gene therapy clinical trial	Badanie kliniczne terapii genowej	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
397	15090	Typ	Rcl	TbAct	Cell therapy clinical trial	Badanie kliniczne terapii komórkowej	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
399	15096	Typ	Rcl	TbAct	Vaccine clinical trial	Badanie kliniczne szczepionki	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
401	15102	Typ	Rcl	TbAct	Medical device trial	Badanie kliniczne urządzenia medycznego	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
403	15108	Typ	Lic	TbAct	Licensing offer		2012-02-24 09:53:00		hanauer	pl	
405	15114	Typ	Lic	TbAct	Chemical molecules		2012-02-24 09:53:00		hanauer	pl	
407	15120	Typ	Lic	TbAct	Biological molecules		2012-02-24 09:53:00		hanauer	pl	
409	15126	Typ	Lic	TbAct	Antibodies		2012-02-24 09:53:00		hanauer	pl	
411	15132	Typ	Lic	TbAct	Biomarkers		2012-02-24 09:53:00		hanauer	pl	
413	15138	Typ	Lic	TbAct	Proteins/peptides		2014-04-08 08:49:00		hanauer	pl	
415	15144	Typ	Lic	TbAct	Oligonucleotides		2012-02-24 09:53:00		hanauer	pl	
417	15150	Typ	Lic	TbAct	Genes		2012-02-24 09:53:00		hanauer	pl	
419	15156	Typ	Lic	TbAct	Cells		2012-02-24 09:53:00		hanauer	pl	
421	15162	Typ	Lic	TbAct	Animal models		2012-02-24 09:53:00		hanauer	pl	
423	15168	Typ	Lic	TbAct	Devices & instrumentation		2012-02-24 09:53:00		hanauer	pl	
425	15174	Typ	Lic	TbAct	Methods & process		2012-02-24 09:53:00		hanauer	pl	
427	15180	Typ	Lic	TbAct	Chemical therapy		2012-02-24 09:53:00		hanauer	pl	
429	15186	Typ	Lic	TbAct	Cell therapy		2012-02-24 09:53:00		hanauer	pl	
431	15192	Typ	Lic	TbAct	Gene therapy		2012-02-24 09:53:00		hanauer	pl	
433	15198	Typ	Lic	TbAct	Vaccine		2012-02-24 09:53:00		hanauer	pl	
435	15204	Typ	Lic	TbAct	Drug delivery		2012-02-24 09:53:00		hanauer	pl	
437	15210	Typ	Lic	TbAct	Diagnosis/prognosis		2014-04-08 08:49:00		hanauer	pl	
439	15216	Typ	Lic	TbAct	Research tool/material		2014-04-08 08:49:00		hanauer	pl	
441	15222	Typ	Lic	TbAct	Medical device		2012-02-24 09:53:00		hanauer	pl	
443	15228	Typ	Reg	TbAct	Registry or biobank	Rejestr lub biobank	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
445	15234	Typ	Reg	TbAct	Biobanks	Biobanki	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
447	15240	Typ	Reg	TbAct	Patient registries/Databases	Rejestry pacjentów/Bazy danych	2014-04-08 08:49:00	2018-04-12	dkarczma	pl	
